game_pk,game_date,fastball_dom,open_line_6am,benchmark_line_noon,line_move_6am_to_noon,actual_total,year,signal_type,signal_market,down_move_05
746330,2024-04-07,1,8.5,9.0,0.5,8,2024,APPROX_UNDER,totals_under,0
744950,2024-04-10,0,8.0,8.0,0.0,7,2024,APPROX_UNDER,totals_under,0
746247,2024-04-10,0,9.0,9.0,0.0,6,2024,APPROX_UNDER,totals_under,0
745601,2024-04-11,0,9.0,9.0,0.0,6,2024,APPROX_UNDER,totals_under,0
746977,2024-04-11,0,8.5,8.5,0.0,13,2024,APPROX_UNDER,totals_under,0
747055,2024-04-12,0,8.0,9.0,1.0,12,2024,APPROX_UNDER,totals_under,0
745838,2024-04-12,0,8.0,8.5,0.5,7,2024,APPROX_UNDER,totals_under,0
746082,2024-04-13,0,8.5,8.5,0.0,6,2024,APPROX_UNDER,totals_under,0
745272,2024-04-13,0,8.0,8.0,0.0,5,2024,APPROX_UNDER,totals_under,0
746975,2024-04-14,0,9.5,10.0,0.5,9,2024,APPROX_UNDER,totals_under,0
746810,2024-04-14,0,9.0,9.0,0.0,15,2024,APPROX_UNDER,totals_under,0
746404,2024-04-14,0,8.5,8.5,0.0,13,2024,APPROX_UNDER,totals_under,0
746157,2024-04-16,0,9.0,9.5,0.5,8,2024,APPROX_UNDER,totals_under,0
747049,2024-04-17,1,8.0,8.5,0.5,6,2024,APPROX_UNDER,totals_under,0
746807,2024-04-17,0,8.5,9.0,0.5,6,2024,APPROX_UNDER,totals_under,0
745759,2024-04-21,0,8.5,8.0,-0.5,9,2024,APPROX_UNDER,totals_under,1
745191,2024-04-22,0,8.5,8.5,0.0,8,2024,APPROX_UNDER,totals_under,0
747130,2024-04-23,0,9.0,8.5,-0.5,5,2024,APPROX_UNDER,totals_under,1
745099,2024-04-24,0,8.0,8.0,0.0,12,2024,APPROX_UNDER,totals_under,0
745027,2024-04-25,0,9.0,9.0,0.0,7,2024,APPROX_UNDER,totals_under,0
744867,2024-04-25,1,8.5,7.5,-1.0,3,2024,APPROX_UNDER,totals_under,1
746243,2024-04-26,0,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
744946,2024-04-27,0,8.0,7.5,-0.5,6,2024,APPROX_UNDER,totals_under,1
746074,2024-04-29,1,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
745427,2024-04-29,0,8.0,8.0,0.0,7,2024,APPROX_UNDER,totals_under,0
746800,2024-05-01,0,8.5,9.0,0.5,15,2024,APPROX_UNDER,totals_under,0
745670,2024-05-01,0,8.0,7.5,-0.5,4,2024,APPROX_UNDER,totals_under,1
744868,2024-05-03,0,9.0,8.5,-0.5,12,2024,APPROX_UNDER,totals_under,1
745914,2024-05-03,0,8.0,8.0,0.0,7,2024,APPROX_UNDER,totals_under,0
746402,2024-05-03,0,8.5,8.5,0.0,8,2024,APPROX_UNDER,totals_under,0
747126,2024-05-07,0,9.0,8.5,-0.5,6,2024,APPROX_UNDER,totals_under,1
746312,2024-05-08,0,8.5,8.5,0.0,10,2024,APPROX_UNDER,totals_under,0
746479,2024-05-10,0,8.0,8.0,0.0,7,2024,APPROX_UNDER,totals_under,0
747043,2024-05-10,0,8.0,8.0,0.0,6,2024,APPROX_UNDER,totals_under,0
745421,2024-05-10,0,8.0,7.5,-0.5,3,2024,APPROX_UNDER,totals_under,1
744941,2024-05-12,0,8.5,8.0,-0.5,6,2024,APPROX_UNDER,totals_under,1
747128,2024-05-13,0,8.0,8.0,0.0,2,2024,APPROX_UNDER,totals_under,0
746962,2024-05-14,0,9.0,9.0,0.0,9,2024,APPROX_UNDER,totals_under,0
745909,2024-05-14,0,8.0,8.5,0.5,6,2024,APPROX_UNDER,totals_under,0
745013,2024-05-18,0,9.0,8.5,-0.5,5,2024,APPROX_UNDER,totals_under,1
745179,2024-05-19,0,8.5,8.5,0.0,14,2024,APPROX_UNDER,totals_under,0
747119,2024-05-20,0,8.0,7.5,-0.5,11,2024,APPROX_UNDER,totals_under,1
746066,2024-05-20,0,8.0,8.0,0.0,5,2024,APPROX_UNDER,totals_under,0
744857,2024-05-20,1,8.0,7.5,-0.5,15,2024,APPROX_UNDER,totals_under,1
746716,2024-05-21,0,9.0,9.5,0.5,2,2024,APPROX_UNDER,totals_under,0
745578,2024-05-21,0,8.0,8.5,0.5,7,2024,APPROX_UNDER,totals_under,0
745173,2024-05-22,0,8.5,9.0,0.5,9,2024,APPROX_UNDER,totals_under,0
746712,2024-05-22,0,9.5,9.0,-0.5,10,2024,APPROX_UNDER,totals_under,1
745573,2024-05-23,0,8.5,8.0,-0.5,7,2024,APPROX_UNDER,totals_under,1
745087,2024-05-24,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
745498,2024-05-26,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
745413,2024-05-26,0,8.0,8.0,0.0,7,2024,APPROX_UNDER,totals_under,0
745818,2024-05-28,0,8.5,8.0,-0.5,7,2024,APPROX_UNDER,totals_under,1
746790,2024-05-29,0,8.5,8.5,0.0,4,2024,APPROX_UNDER,totals_under,0
746551,2024-05-29,0,11.0,11.0,0.0,11,2024,APPROX_UNDER,totals_under,0
746954,2024-05-30,0,8.0,7.5,-0.5,5,2024,APPROX_UNDER,totals_under,1
746303,2024-05-31,0,8.0,8.0,0.0,19,2024,APPROX_UNDER,totals_under,0
744932,2024-06-01,0,8.0,7.5,-0.5,9,2024,APPROX_UNDER,totals_under,1
746952,2024-06-01,0,8.5,8.5,0.0,9,2024,APPROX_UNDER,totals_under,0
746629,2024-06-01,0,8.5,7.5,-1.0,5,2024,APPROX_UNDER,totals_under,1
746224,2024-06-03,0,8.5,8.0,-0.5,3,2024,APPROX_UNDER,totals_under,1
745739,2024-06-04,0,8.0,8.0,0.0,6,2024,APPROX_UNDER,totals_under,0
747195,2024-06-05,0,8.5,8.5,0.0,12,2024,APPROX_UNDER,totals_under,0
744844,2024-06-06,0,8.5,8.5,0.0,7,2024,APPROX_UNDER,totals_under,0
744845,2024-06-07,0,8.0,7.5,-0.5,3,2024,APPROX_UNDER,totals_under,1
746302,2024-06-07,0,9.0,9.0,0.0,19,2024,APPROX_UNDER,totals_under,0
746461,2024-06-08,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
746223,2024-06-08,0,8.5,8.5,0.0,7,2024,APPROX_UNDER,totals_under,0
746705,2024-06-09,0,9.0,9.0,0.0,6,2024,APPROX_UNDER,totals_under,0
746297,2024-06-09,0,8.0,7.0,-1.0,11,2024,APPROX_UNDER,totals_under,1
746295,2024-06-10,0,8.5,8.5,0.0,6,2024,APPROX_UNDER,totals_under,0
745978,2024-06-12,0,8.5,9.0,0.5,9,2024,APPROX_UNDER,totals_under,0
746701,2024-06-12,1,8.5,8.0,-0.5,6,2024,APPROX_UNDER,totals_under,1
747026,2024-06-13,0,9.0,9.0,0.0,9,2024,APPROX_UNDER,totals_under,0
745168,2024-06-13,0,8.5,8.5,0.0,7,2024,APPROX_UNDER,totals_under,0
746134,2024-06-14,0,8.0,7.5,-0.5,7,2024,APPROX_UNDER,totals_under,1
747113,2024-06-15,0,8.5,8.5,0.0,11,2024,APPROX_UNDER,totals_under,0
746946,2024-06-15,0,9.0,8.5,-0.5,12,2024,APPROX_UNDER,totals_under,1
747108,2024-06-17,0,8.0,8.0,0.0,3,2024,APPROX_UNDER,totals_under,0
746783,2024-06-18,0,8.5,9.0,0.5,2,2024,APPROX_UNDER,totals_under,0
745002,2024-06-19,0,8.5,8.5,0.0,8,2024,APPROX_UNDER,totals_under,0
745729,2024-06-21,0,8.0,7.5,-0.5,9,2024,APPROX_UNDER,totals_under,1
746698,2024-06-21,0,9.0,9.0,0.0,7,2024,APPROX_UNDER,totals_under,0
745485,2024-06-23,0,8.0,7.5,-0.5,4,2024,APPROX_UNDER,totals_under,1
746457,2024-06-23,0,8.5,8.0,-0.5,13,2024,APPROX_UNDER,totals_under,1
747021,2024-06-24,1,8.5,8.0,-0.5,5,2024,APPROX_UNDER,totals_under,1
747188,2024-06-25,0,8.0,7.5,-0.5,9,2024,APPROX_UNDER,totals_under,1
746374,2024-06-26,0,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
746289,2024-06-29,1,8.0,7.5,-0.5,9,2024,APPROX_UNDER,totals_under,1
746211,2024-06-29,0,8.0,8.0,0.0,11,2024,APPROX_UNDER,totals_under,0
745971,2024-06-30,0,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
744914,2024-07-01,1,9.0,8.5,-0.5,4,2024,APPROX_UNDER,totals_under,1
746285,2024-07-04,0,8.5,8.5,0.0,18,2024,APPROX_UNDER,totals_under,0
746126,2024-07-04,0,8.5,8.5,0.0,12,2024,APPROX_UNDER,totals_under,0
744836,2024-07-05,0,8.5,9.0,0.5,13,2024,APPROX_UNDER,totals_under,0
746693,2024-07-05,0,9.0,9.0,0.0,9,2024,APPROX_UNDER,totals_under,0
746691,2024-07-07,0,8.0,8.0,0.0,6,2024,APPROX_UNDER,totals_under,0
745393,2024-07-09,0,8.0,8.0,0.0,11,2024,APPROX_UNDER,totals_under,0
746772,2024-07-10,0,8.0,8.0,0.0,4,2024,APPROX_UNDER,totals_under,0
745065,2024-07-11,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
746371,2024-07-12,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
745390,2024-07-12,0,8.5,8.5,0.0,7,2024,APPROX_UNDER,totals_under,0
746766,2024-07-13,0,8.5,8.5,0.0,8,2024,APPROX_UNDER,totals_under,0
746202,2024-07-13,0,8.0,7.5,-0.5,3,2024,APPROX_UNDER,totals_under,1
747176,2024-07-14,0,8.0,7.5,-0.5,15,2024,APPROX_UNDER,totals_under,1
745481,2024-07-19,0,8.0,8.0,0.0,15,2024,APPROX_UNDER,totals_under,0
744990,2024-07-19,0,8.0,7.5,-0.5,10,2024,APPROX_UNDER,totals_under,1
745478,2024-07-20,0,8.5,8.5,0.0,5,2024,APPROX_UNDER,totals_under,0
746121,2024-07-20,1,9.5,9.0,-0.5,13,2024,APPROX_UNDER,totals_under,1
746610,2024-07-21,0,8.0,7.5,-0.5,3,2024,APPROX_UNDER,totals_under,1
746125,2024-07-21,0,9.0,9.0,0.0,15,2024,APPROX_UNDER,totals_under,0
746850,2024-07-22,0,8.0,8.0,0.0,4,2024,APPROX_UNDER,totals_under,0
745715,2024-07-23,0,8.5,9.0,0.5,5,2024,APPROX_UNDER,totals_under,0
746281,2024-07-23,0,10.0,9.5,-0.5,8,2024,APPROX_UNDER,totals_under,1
745472,2024-07-24,0,8.5,9.0,0.5,5,2024,APPROX_UNDER,totals_under,0
745877,2024-07-24,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
747006,2024-07-27,0,9.0,8.5,-0.5,13,2024,APPROX_UNDER,totals_under,1
746278,2024-07-27,0,8.0,8.0,0.0,13,2024,APPROX_UNDER,totals_under,0
746931,2024-07-27,0,10.0,10.0,0.0,19,2024,APPROX_UNDER,totals_under,0
746445,2024-07-28,0,8.0,7.5,-0.5,5,2024,APPROX_UNDER,totals_under,1
746928,2024-07-29,0,8.5,8.5,0.0,21,2024,APPROX_UNDER,totals_under,0
745309,2024-07-30,0,8.0,8.0,0.0,7,2024,APPROX_UNDER,totals_under,0
745789,2024-07-31,1,8.5,8.5,0.0,11,2024,APPROX_UNDER,totals_under,0
747092,2024-08-01,0,9.0,8.5,-0.5,6,2024,APPROX_UNDER,totals_under,1
745471,2024-08-02,1,8.5,8.5,0.0,17,2024,APPROX_UNDER,totals_under,0
744979,2024-08-04,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
745469,2024-08-07,0,8.0,8.0,0.0,17,2024,APPROX_UNDER,totals_under,0
745710,2024-08-08,0,8.5,8.5,0.0,13,2024,APPROX_UNDER,totals_under,0
744895,2024-08-11,0,8.5,8.5,0.0,12,2024,APPROX_UNDER,totals_under,0
746517,2024-08-11,0,10.5,10.5,0.0,17,2024,APPROX_UNDER,totals_under,0
746603,2024-08-12,0,8.0,8.0,0.0,17,2024,APPROX_UNDER,totals_under,0
745954,2024-08-13,0,8.5,9.0,0.5,9,2024,APPROX_UNDER,totals_under,0
745950,2024-08-15,0,8.0,7.5,-0.5,10,2024,APPROX_UNDER,totals_under,1
747002,2024-08-15,0,8.5,8.5,0.0,6,2024,APPROX_UNDER,totals_under,0
745949,2024-08-16,0,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
746189,2024-08-16,0,8.0,8.0,0.0,5,2024,APPROX_UNDER,totals_under,0
746186,2024-08-18,0,9.0,9.5,0.5,4,2024,APPROX_UNDER,totals_under,0
746107,2024-08-20,0,8.5,8.5,0.0,9,2024,APPROX_UNDER,totals_under,0
746022,2024-08-24,0,8.0,8.0,0.0,16,2024,APPROX_UNDER,totals_under,0
746994,2024-08-25,0,8.5,8.0,-0.5,9,2024,APPROX_UNDER,totals_under,1
746915,2024-08-26,0,9.0,9.0,0.0,10,2024,APPROX_UNDER,totals_under,0
746755,2024-08-27,0,8.5,8.5,0.0,4,2024,APPROX_UNDER,totals_under,0
746589,2024-08-28,0,8.0,8.0,0.0,12,2024,APPROX_UNDER,totals_under,0
745541,2024-08-28,1,9.5,10.0,0.5,10,2024,APPROX_UNDER,totals_under,0
745134,2024-08-28,0,8.5,8.0,-0.5,7,2024,APPROX_UNDER,totals_under,1
745943,2024-08-28,0,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
746748,2024-08-29,0,8.5,8.5,0.0,3,2024,APPROX_UNDER,totals_under,0
746352,2024-08-29,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
747158,2024-08-31,0,9.0,9.5,0.5,14,2024,APPROX_UNDER,totals_under,0
746750,2024-09-01,0,8.0,7.5,-0.5,2,2024,APPROX_UNDER,totals_under,1
746183,2024-09-01,0,8.5,9.0,0.5,5,2024,APPROX_UNDER,totals_under,0
746264,2024-09-03,1,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
744968,2024-09-03,0,9.0,9.0,0.0,11,2024,APPROX_UNDER,totals_under,0
746019,2024-09-04,1,8.5,8.5,0.0,7,2024,APPROX_UNDER,totals_under,0
745369,2024-09-05,0,8.5,8.5,0.0,7,2024,APPROX_UNDER,totals_under,0
745775,2024-09-07,0,8.5,8.5,0.0,4,2024,APPROX_UNDER,totals_under,0
746018,2024-09-07,0,8.5,8.0,-0.5,14,2024,APPROX_UNDER,totals_under,1
745698,2024-09-09,0,8.5,8.5,0.0,14,2024,APPROX_UNDER,totals_under,0
744888,2024-09-09,0,8.5,9.0,0.5,5,2024,APPROX_UNDER,totals_under,0
744807,2024-09-10,0,8.0,7.5,-0.5,12,2024,APPROX_UNDER,totals_under,1
746745,2024-09-11,0,8.0,7.5,-0.5,10,2024,APPROX_UNDER,totals_under,1
744881,2024-09-11,0,8.0,7.5,-0.5,8,2024,APPROX_UNDER,totals_under,1
746181,2024-09-13,0,8.5,8.5,0.0,8,2024,APPROX_UNDER,totals_under,0
746740,2024-09-14,0,8.5,8.5,0.0,13,2024,APPROX_UNDER,totals_under,0
746588,2024-09-16,1,8.0,7.5,-0.5,7,2024,APPROX_UNDER,totals_under,1
746587,2024-09-17,0,8.5,8.0,-0.5,5,2024,APPROX_UNDER,totals_under,1
746261,2024-09-17,0,8.0,8.0,0.0,4,2024,APPROX_UNDER,totals_under,0
746176,2024-09-17,0,8.0,8.0,0.0,5,2024,APPROX_UNDER,totals_under,0
746663,2024-09-19,0,8.5,9.0,0.5,18,2024,APPROX_UNDER,totals_under,0
746661,2024-09-20,0,9.0,9.0,0.0,11,2024,APPROX_UNDER,totals_under,0
746255,2024-09-21,0,8.5,8.5,0.0,9,2024,APPROX_UNDER,totals_under,0
745851,2024-09-24,1,8.0,8.0,0.0,5,2024,APPROX_UNDER,totals_under,0
746093,2024-09-24,0,8.0,8.5,0.5,6,2024,APPROX_UNDER,totals_under,0
746088,2024-09-26,0,8.5,8.5,0.0,9,2024,APPROX_UNDER,totals_under,0
747145,2024-09-27,0,9.0,8.5,-0.5,8,2024,APPROX_UNDER,totals_under,1
745282,2024-09-29,0,8.0,8.0,0.0,7,2024,APPROX_UNDER,totals_under,0
778394,2025-04-08,0,9.5,9.5,0.0,8,2025,APPROX_UNDER,totals_under,0
778374,2025-04-11,0,8.5,8.5,0.0,8,2025,APPROX_UNDER,totals_under,0
778337,2025-04-13,0,8.0,8.0,0.0,15,2025,APPROX_UNDER,totals_under,0
778311,2025-04-15,0,8.0,7.5,-0.5,9,2025,APPROX_UNDER,totals_under,1
778302,2025-04-15,0,8.5,8.5,0.0,8,2025,APPROX_UNDER,totals_under,0
778283,2025-04-17,0,8.0,8.0,0.0,8,2025,APPROX_UNDER,totals_under,0
778260,2025-04-18,0,8.0,8.0,0.0,2,2025,APPROX_UNDER,totals_under,0
778262,2025-04-19,0,9.0,9.0,0.0,14,2025,APPROX_UNDER,totals_under,0
778259,2025-04-19,0,8.0,7.5,-0.5,5,2025,APPROX_UNDER,totals_under,1
778223,2025-04-22,0,8.0,8.0,0.0,6,2025,APPROX_UNDER,totals_under,0
778217,2025-04-22,0,8.0,8.0,0.0,6,2025,APPROX_UNDER,totals_under,0
778187,2025-04-25,0,8.0,8.0,0.0,2,2025,APPROX_UNDER,totals_under,0
778161,2025-04-26,0,10.5,10.5,0.0,10,2025,APPROX_UNDER,totals_under,0
778156,2025-04-27,0,8.0,8.0,0.0,13,2025,APPROX_UNDER,totals_under,0
778151,2025-04-27,0,8.0,7.5,-0.5,5,2025,APPROX_UNDER,totals_under,1
